Freq,Channel 1,Average
0,-95.91,-95.91
0.73,-96.63,-96.63
1.46,-92.25,-92.25
2.2,-87.12,-87.12
2.93,-84.11,-84.11
3.66,-82.95,-82.95
4.39,-82.81,-82.81
5.13,-82.83,-82.83
5.86,-82.1,-82.1
6.59,-81.46,-81.46
7.32,-81.3,-81.3
8.06,-81.76,-81.76
8.79,-82.61,-82.61
9.52,-83.79,-83.79
10.25,-84.98,-84.98
10.99,-85.7,-85.7
11.72,-86.15,-86.15
12.45,-85.21,-85.21
13.18,-84.9,-84.9
13.92,-85.62,-85.62
14.65,-85.54,-85.54
15.38,-85.58,-85.58
16.11,-85.67,-85.67
16.85,-85.84,-85.84
17.58,-87.13,-87.13
18.31,-88.77,-88.77
19.04,-89.49,-89.49
19.78,-88.84,-88.84
20.51,-88.61,-88.61
21.24,-89.29,-89.29
21.97,-90.35,-90.35
22.71,-89.69,-89.69
23.44,-87.72,-87.72
24.17,-86.27,-86.27
24.9,-83.64,-83.64
25.63,-80.48,-80.48
26.37,-77.96,-77.96
27.1,-75.78,-75.78
27.83,-73.58,-73.58
28.56,-71.21,-71.21
29.3,-69.42,-69.42
30.03,-68.62,-68.62
30.76,-68.43,-68.43
31.49,-68.05,-68.05
32.23,-67.67,-67.67
32.96,-67.72,-67.72
33.69,-67.77,-67.77
34.42,-67.32,-67.32
35.16,-66.41,-66.41
35.89,-65.96,-65.96
36.62,-66.55,-66.55
37.35,-67.35,-67.35
38.09,-67.2,-67.2
38.82,-66.53,-66.53
39.55,-66.25,-66.25
40.28,-66.66,-66.66
41.02,-67.72,-67.72
41.75,-69.65,-69.65
42.48,-73.05,-73.05
43.21,-78.18,-78.18
43.95,-79.62,-79.62
44.68,-75.75,-75.75
45.41,-73.07,-73.07
46.14,-71.28,-71.28
46.88,-70.22,-70.22
47.61,-69.67,-69.67
48.34,-69.17,-69.17
49.07,-68.42,-68.42
49.8,-67.53,-67.53
50.54,-66.64,-66.64
51.27,-65.77,-65.77
52,-64.93,-64.93
52.73,-64.11,-64.11
53.47,-63.3,-63.3
54.2,-62.52,-62.52
54.93,-61.76,-61.76
55.66,-60.99,-60.99
56.4,-60.22,-60.22
57.13,-59.49,-59.49
57.86,-58.86,-58.86
58.59,-58.25,-58.25
59.33,-57.55,-57.55
60.06,-56.75,-56.75
60.79,-55.84,-55.84
